citation_id,run_id,cited_brand_id,cited_brand_raw,url,domain_reported,source_type_reported
C000281,M1-P016-AN-R2,B003,,https://arcticloom.example/collections/cooling-tech,arcticloom.example,owned
C000878,M1-P052-CH-R2,B003,,https://arcticloom.example/collections/cooling-tech,arcticloom.example,owned
C000458,M1-P027-CH-R2,,,https://home-review.example/best-cooling-bedding,home-review.example,editorial
C000885,M1-P052-AN-R2,,,https://forum.example/r/hotsleepers/cooling-sheet-experiences,forum.example,forum
C000329,M1-P019-SE-R2,,,https://home-review.example/best-cooling-bedding,home-review.example,editorial
C000789,M1-P047-SE-R1,B002,,https://independent-sleep.example/reviews/serein-sleep,independent-sleep.example,editorial
C000886,M1-P052-AN-R2,B001,,https://astervale.example/products/cooling-sheet-set,astervale.example,owned
C000098,M1-P006-SE-R2,B003,,https://arcticloom.example/collections/cooling-tech,arcticloom.example,owned
C001081,M2-P001-CH-R1,,,https://home-review.example/best-cooling-bedding,home-review.example,editorial
C000766,M1-P046-CH-R2,,,https://sleep-lab.example/guides/cooling-sheets,sleep-lab.example,editorial
C002043,M2-P054-AN-R1,B001,,https://independent-sleep.example/reviews/astervale,independent-sleep.example,editorial
C000106,M1-P007-CH-R2,,,https://forum.example/r/hotsleepers/cooling-sheet-experiences,forum.example,forum
C000611,M1-P036-AN-R2,,,https://home-review.example/best-cooling-bedding,home-review.example,editorial
C001010,M1-P060-SE-R2,,Aster Vale,https://astervale.example/products/cooling-sheet-set,astervale.example,owned
C000076,M1-P005-CH-R1,B002,,https://sereinsleep.example/products/clean-cooling-sheets,sereinsleep.example,owned
C000251,M1-P015-CH-R1,B005,,https://eucalune.example/products/eucalyptus-sheets,eucalune.example,owned
C000951,M1-P056-AN-R1,,,https://forum.example/r/hotsleepers/cooling-sheet-experiences,forum.example,forum
C001050,M1-P062-AN-R2,B003,,https://arcticloom.example/collections/cooling-tech,arcticloom.example,owned
C002232,M2-P064-AN-R2,,,https://forum.example/r/hotsleepers/cooling-sheet-experiences,forum.example,forum
C001405,M2-P018-AN-R2,,,https://sleep-lab.example/guides/cooling-sheets,sleep-lab.example,editorial
C000173,M1-P010-AN-R2,B003,,https://independent-sleep.example/reviews/arcticloom,independent-sleep.example,editorial
C000837,M1-P049-AN-R2,B002,,https://sereinsleep.example/products/clean-cooling-sheets,sereinsleep.example,owned
