run_id,audit_month,prompt_id,platform,replicate,run_status,ingested_at,cell_key,scope_ok,success_ok,outcome_ok,eligible,exclusion_reason
M1-P062-CH-R2,M1,P062,ChatAssist,2,success,2026-06-01 23:00:00+00:00,P062|ChatAssist|2,True,True,True,True,
M1-P053-AN-R2,M1,P053,AnswerMind,2,success,2026-06-01 23:00:00+00:00,P053|AnswerMind|2,True,True,True,True,
M1-P033-SE-R2,M1,P033,SearchAI,2,success,2026-06-01 23:00:00+00:00,P033|SearchAI|2,True,True,True,True,
M1-P056-CH-R1,M1,P056,ChatAssist,1,success,2026-06-01 23:00:00+00:00,P056|ChatAssist|1,True,True,True,True,
M1-P047-AN-R1,M1,P047,AnswerMind,1,success,2026-06-01 23:00:00+00:00,P047|AnswerMind|1,True,True,False,False,invalid_outcome
M1-P054-SE-R2,M1,P054,SearchAI,2,success,2026-06-01 23:00:00+00:00,P054|SearchAI|2,True,True,True,True,
M1-P034-CH-R2,M1,P034,ChatAssist,2,success,2026-06-01 23:00:00+00:00,P034|ChatAssist|2,True,True,True,True,
M1-P006-SE-R1,M1,P006,SearchAI,1,success,2026-06-01 23:00:00+00:00,P006|SearchAI|1,True,True,True,True,
M1-P048-CH-R2,M1,P048,ChatAssist,2,success,2026-06-01 23:00:00+00:00,P048|ChatAssist|2,True,True,True,True,
M1-P034-SE-R1,M1,P034,SearchAI,1,timeout,2026-06-01 23:00:00+00:00,P034|SearchAI|1,True,False,True,False,non_success
M1-P049-CH-R1,M1,P049,ChatAssist,1,success,2026-06-01 23:00:00+00:00,P049|ChatAssist|1,True,True,True,True,
M1-P048-SE-R1,M1,P048,SearchAI,1,success,2026-06-01 23:00:00+00:00,P048|SearchAI|1,True,True,True,True,
M1-P013-CH-R2,M1,P013,ChatAssist,2,success,2026-06-01 23:00:00+00:00,P013|ChatAssist|2,True,True,True,True,
M1-P055-SE-R1,M1,P055,SearchAI,1,success,2026-06-01 23:00:00+00:00,P055|SearchAI|1,True,True,True,True,
M1-P063-CH-R1,M1,P063,ChatAssist,1,success,2026-06-01 23:00:00+00:00,P063|ChatAssist|1,True,True,True,True,
M1-P041-CH-R2,M1,P041,ChatAssist,2,success,2026-06-01 23:00:00+00:00,P041|ChatAssist|2,True,True,True,True,
M1-P019-AN-R1,M1,P019,AnswerMind,1,success,2026-06-01 23:00:00+00:00,P019|AnswerMind|1,True,True,True,True,
M1-P039-AN-R2,M1,P039,AnswerMind,2,success,2026-06-01 23:00:00+00:00,P039|AnswerMind|2,True,True,True,True,
M1-P018-AN-R2,M1,P018,AnswerMind,2,success,2026-06-01 23:00:00+00:00,P018|AnswerMind|2,True,True,True,True,
