citation_id,run_id,cited_brand_id,cited_brand_raw,url,domain_reported,source_type_reported,normalized_url,valid_url,url_host,is_owned,is_non_owned,canonical_url
C000281,M1-P016-AN-R2,,,https://arcticloom.example/collections/cooling-tech,arcticloom.example,owned,https://arcticloom.example/collections/cooling-tech,True,arcticloom.example,False,True,https://arcticloom.example/collections/cooling-tech
C000878,M1-P052-CH-R2,,,https://arcticloom.example/collections/cooling-tech,arcticloom.example,owned,https://arcticloom.example/collections/cooling-tech,True,arcticloom.example,False,True,https://arcticloom.example/collections/cooling-tech
C000885,M1-P052-AN-R2,,,https://forum.example/r/hotsleepers/cooling-sheet-experiences,forum.example,forum,https://forum.example/r/hotsleepers/cooling-sheet-experiences,True,forum.example,False,True,https://forum.example/r/hotsleepers/cooling-sheet-experiences
C000329,M1-P019-SE-R2,,,https://home-review.example/best-cooling-bedding,home-review.example,editorial,https://home-review.example/best-cooling-bedding,True,home-review.example,False,True,https://home-review.example/best-cooling-bedding
C000789,M1-P047-SE-R1,,,https://independent-sleep.example/reviews/serein-sleep,independent-sleep.example,editorial,https://independent-sleep.example/reviews/serein-sleep,True,independent-sleep.example,False,True,https://independent-sleep.example/reviews/serein-sleep
C000886,M1-P052-AN-R2,,,https://astervale.example/products/cooling-sheet-set,astervale.example,owned,https://astervale.example/products/cooling-sheet-set,True,astervale.example,False,True,https://astervale.example/products/cooling-sheet-set
C000098,M1-P006-SE-R2,,,https://arcticloom.example/collections/cooling-tech,arcticloom.example,owned,https://arcticloom.example/collections/cooling-tech,True,arcticloom.example,False,True,https://arcticloom.example/collections/cooling-tech
C001081,M2-P001-CH-R1,,,https://home-review.example/best-cooling-bedding,home-review.example,editorial,https://home-review.example/best-cooling-bedding,True,home-review.example,False,True,https://home-review.example/best-cooling-bedding
C000766,M1-P046-CH-R2,,,https://sleep-lab.example/guides/cooling-sheets,sleep-lab.example,editorial,https://sleep-lab.example/guides/cooling-sheets,True,sleep-lab.example,False,True,https://sleep-lab.example/guides/cooling-sheets
C000106,M1-P007-CH-R2,,,https://forum.example/r/hotsleepers/cooling-sheet-experiences,forum.example,forum,https://forum.example/r/hotsleepers/cooling-sheet-experiences,True,forum.example,False,True,https://forum.example/r/hotsleepers/cooling-sheet-experiences
